Word	Part of Speech	Origin	Definition
kilowatt	noun	International Scientific Vocabulary	a unit of power equal to 1000 watts
kinesiology	noun	Greek	the branch of physiology that studies the mechanics and anatomy in relation to human movement
kinetic	adjective	Greek	characterized by motion
kinkajou	noun	French	arboreal fruit-eating mammal of tropical America with a long prehensile tail
kirsch	noun	German	from fermented juice of black morello cherries
kirtle	noun	Middle English	a long dress worn by women
kishke	noun	Yiddish	beef or fowl casing stuffed and cooked
kitsch	adjective	German	of a display that is tawdry or vulgar
kiwi	noun	Maori	nocturnal flightless bird of New Zealand having a long neck and stout legs
koan	noun	Japanese	a paradoxical anecdote or a riddle that has no solution
kohlrabi	noun	German	fleshy turnip-shaped edible stem of the kohlrabi plant
koine	noun	Greek	a Greek dialect that flourished under the Roman Empire
koinonia	noun	Greek	Christian fellowship or communion with God or with fellow Christians
kookaburra	noun	Wiradhuri	Australian kingfisher having a loud cackling cry
koto	noun	Japanese	Japanese stringed instrument that resembles a zither
krill	noun	Norwegian	shrimp-like planktonic crustaceans
krypton	noun	Greek	a colorless element that is one of the six inert gasses
kudos	noun	Greek	an expression of approval and commendation
kurta	noun	Hindi and Urdu	a loose collarless shirt worn by many people on the Indian subcontinent
labile	adjective	French	open to change
laburnum	noun	New Latin	flowering shrubs or trees having bright yellow flowers
lacerate	adjective	Middle English	having edges that are jagged from injury
lacertilian	adjective	New Latin	of or relating to lizards
lachrymose	adjective	Latin	showing sorrow
lacrosse	noun	Canadian French	a goal game in which players use a long-handled stick with a net to catch, carry, and throw the ball
lacteal	adjective	Latin	relating to or consisting of or producing or resembling milk
lacuna	noun	Latin	a blank gap or missing part
lagniappe	noun	American French	a small gift
lahar	noun	Javanese	an avalanche of volcanic water and mud down the slopes of a volcano
lamasery	noun	French	a monastery for lamas
lambent	adjective	Latin	softly bright or radiant
lamia	noun	Middle English	a corpse that rises at night to drink the blood of the living
lamprey	noun	Middle English	primitive eellike freshwater or anadromous cyclostome having round sucking mouth with a rasping tongue
Lancashire	noun	England	a historical area of northwestern England on the Irish Sea
lanceolate	adjective	Late Latin	of a leaf shape
langouste	noun	French	large edible marine crustacean having a spiny carapace but lacking the large pincers of true lobsters
laniary	adjective	Latin	of or relating to a pointed conical tooth
laocoon	noun	Latin	the priest of Apollo who warned the Trojans to beware of Greeks bearing gifts when they wanted to accept the Trojan Horse
larceny	noun	Middle English	the act of taking something from someone unlawfully
larghetto	adjective	Italian	less slow and broad than largo
larghissimo	adjective	Italian	as slow and broad as possible
laryngitis	noun	New Latin	inflammation of the mucous membrane of the larynx
lassitude	noun	Middle English	weakness characterized by a lack of vitality or energy
latke	noun	Yiddish	made of grated potato and egg with a little flour
laurel	noun	Middle English	a wreath of laurel foliage worn on the head as an emblem of victory
lavabo	noun	Latin	a basin for washing the hands
lavation	noun	Middle English	the work of cleansing
lavatory	noun	Middle English	a toilet that is cleaned of waste by the flow of water through it
lavender	adjective	Middle English	of a pale purple color
leaven	noun	Middle English	an influence that works subtly to lighten or modify something
lebensraum	noun	German	space sought for occupation by a nation whose population is expanding
lecithin	noun	International Scientific Vocabulary	a yellow phospholipid essential for the metabolism of fats
lecture	noun	Middle English	teaching by giving a discourse on some subject
lederhosen	noun	German	leather shorts often worn with suspenders
legato	adjective	Italian	without breaks between notes
legerdemain	noun	Middle English	an illusory feat
legerity	noun	Middle French	the gracefulness of a person or animal that is quick and nimble
legibility	noun	Middle English	writing that can be easily read
legible	adjective	Middle English	able to be read
legionnaire	noun	French	a soldier who is a member of a legion
legitimately	adverb	Middle English	in a lawfully recognized manner
lekvar	noun	Hungarian	a sweet filling made of prunes or apricots
lemming	noun	Norwegian	any of various short-tailed furry-footed rodents of circumpolar distribution
lemur	noun	New Latin	large-eyed arboreal prosimian having foxy faces and long furry tails
lenitive	adjective	Middle English	moderating pain or sorrow by making it easier to bear
leonine	adjective	Middle English	of or characteristic of or resembling a lion
leopard	noun	Middle English	large feline of African and Asian forests usually having a tawny coat with black spots
lepidote	adjective	Greek	rough to the touch
leprosy	noun	Middle English	chronic granulomatous communicable disease occurring in tropical and subtropical regions
lethargy	noun	Middle English	a state of comatose torpor
leveret	noun	Middle English	a young hare especially one in its first year
levirate	noun	Latin	the biblical institution whereby a man must marry the widow of his childless brother in order to maintain the brother's line
lexicon	noun	Late Greek	a language user's knowledge of words
liable	adjective	Middle English	held legally responsible
libration	noun	Latin	a real or apparent slow oscillation of a moon or satellite
libretto	noun	Italian	the words of an opera or musical play
licentiate	noun	Medieval Latin	holds a license from a university
lichen	noun	Latin	any thallophytic plant of the division Lichenes
Liederkranz	noun	German	a soft cheese with a strong odor and flavor
lieu	noun	Middle English	the post or function properly or customarily occupied or served by another
lieutenant	noun	Middle English	an officer in a police force
ligature	noun	Middle English	thread used by surgeons to bind a vessel
liliaceous	adjective	Late Latin	of or pertaining to or characteristic of plants of the family Liliaceae
limacine	adjective	New Latin	of or resembling a slug
liman	noun	Russian	a long narrow lagoon near the mouth of a river
Limburger	noun	Dutch	a soft white cheese with a very strong pungent odor and flavor
limen	noun	Latin	the smallest detectable sensation
limn	verb	Middle English	make a portrait of
limnology	noun	Greek	the scientific study of bodies of fresh water
limousine	noun	French	large luxurious car
limpet	noun	Middle English	any of various usually marine gastropods with low conical shells
limpid	adjective	French or Latin	transparently clear
liniment	noun	Middle English	a medicinal liquid that is rubbed into the skin to relieve muscular stiffness and pain
linnet	noun	Middle French	small Old World finch whose male has a red breast and forehead
linoleum	noun	Latin	a floor covering
lintel	noun	Middle English	horizontal beam used as a finishing piece over a door or window
liquefaction	noun	Middle English	the conversion of a solid or a gas into a liquid
liquescent	adjective	Latin	becoming liquid
litany	noun	Middle English	a prayer consisting of a series of invocations by the priest with responses from the congregation
literatim	adverb	Medieval Latin	letter for letter
lithophyte	noun	International Scientific Vocabulary	plant that grows on rocks or stony soil and derives nourishment from the atmosphere
litigation	noun	Latin	a legal proceeding in a court
litigator	noun	Latin	a party to a lawsuit
litigious	adjective	Middle English	of or relating to litigation
litigiousness	noun	Middle English	a quarrelsome disposition to engage in or carry on lawsuits
litotes	noun	Greek	understatement for rhetorical effect
littoral	adjective	Latin	of or relating to a coastal or shore region
lobotomy	noun	International Scientific Vocabulary	surgical interruption of nerve tracts to and from the frontal lobe of the brain
lobscouse	noun	origin unknown	a stew of meat and vegetables and hardtack that is eaten by sailors
logarithm	noun	New Latin	the exponent required to produce a given number
loggia	noun	Italian	a roofed arcade or gallery with open sides stretching along the front or side of a building
logistics	noun	French	handling an operation that involves providing labor and materials be supplied as needed
logomachy	noun	Greek	argument about words or the meaning of words
logorrhea	noun	New Latin	pathologically excessive talking
longanimity	noun	Middle English	good-natured tolerance of delay or incompetence
longevity	noun	Late Latin	the property of being long-lived
longitude	noun	Middle English	the angular distance between a point on any meridian and the prime meridian at Greenwich
longueur	noun	French	a period of dullness or boredom
loquacious	adjective	Latin	full of trivial conversation
Lorelei	noun	German	a Siren of German legend who lured boatmen in the Rhine to destruction
lorgnette	noun	French	eyeglasses that are held to the eyes with a long handle
lorica	noun	Latin	a hard protective sheath as secreted by certain protoctists e.g.
louche	adjective	French	of questionable taste or morality
loupe	noun	French	small magnifying glass used by jewelers and horologists
Lubavitcher	noun	Yiddish	a member of the Lubavitch movement
lucrative	adjective	Middle English	producing a sizeable profit
lucre	noun	Middle English	the excess of revenues over outlays in a given period of time
luculent	adjective	Latin	transparently clear
ludicrous	adjective	Latin	broadly or extravagantly humorous
lugubrious	adjective	Latin	excessively mournful
lumpen	adjective	German	mentally sluggish
lusciously	adverb	Middle English	so as to produce a delightful taste
lustrum	noun	Latin	a ceremonial purification of the Roman population every five years following the census
luthier	noun	French	a craftsman who makes stringed instruments
luxuriate	verb	Latin	thrive profusely or flourish extensively
lycopene	noun	International Scientific Vocabulary	carotenoid that makes tomatoes red
lymphadenitis	noun	New Latin	inflammation of lymph nodes
lymphocyte	noun	International Scientific Vocabulary	an agranulocytic leukocyte that normally makes up a quarter of the white blood cell count but increases in the presence of infection
lyonnaise	adjective	French	cooked with onions
lyre	noun	Middle English	a harp used by ancient Greeks for accompaniment
lyric	adjective	Middle French or Latin	expressing deep personal emotion
maar	noun	German	a flat-bottomed volcanic crater that was formed by an explosion
macaque	noun	French	short-tailed monkey of rocky regions of Asia and Africa
macaroni	noun	Italian	pasta in the form of slender tubes
macaroon	noun	French	chewy cookie usually containing almond paste
machicolation	noun	Medieval Latin	a projecting parapet supported by corbels on a medieval castle
machinate	verb	Latin	"engage in plotting or enter into a conspiracy, swear together"
machinator	noun	Latin	a member of a conspiracy
macrame	noun	French or Italian	a coarse lace
mademoiselle	noun	Middle English	small silvery drumfish often mistaken for white perch
madrilene	noun	French	a tomato-flavored consomme
magisterial	adjective	Late Latin	of or relating to a magistrate
magistrate	noun	Middle English	a public official authorized to decide questions brought before a court of justice
magnate	noun	Middle English	a very wealthy or powerful businessman
magus	noun	Latin	a member of the Zoroastrian priesthood of the ancient Persians
mahatma	noun	Sanskrit	term of respect for a Brahmin sage
mahimahi	noun	Hawaiian	large slender food and game fish widely distributed in warm seas
mahogany	noun	origin unknown	any of various tropical timber trees of the family Meliaceae especially the genus Swietinia valued for their hard yellowish- to reddish-brown wood that is readily worked and takes a high polish
mahout	noun	Hindi and Urdu	the driver and keeper of an elephant
maillot	noun	French	tights for dancers or gymnasts
maintenance	noun	Middle English	the unauthorized interference in a legal action by a person having no interest in it so as to obstruct justice or promote unnecessary litigation or unsettle the peace of the community
maize	noun	Spanish	corn
majuscule	adjective	French	of or relating to a style of writing characterized by somewhat rounded capital letters
malacology	noun	French	the branch of zoology that studies the structure and behavior of mollusks
maladroitly	adverb	French	in a maladroit manner
malapropos	adjective	French	of an inappropriate or incorrectly applied nature
maleficence	noun	Italian	the quality or nature of being harmful or evil
malignant	adjective	Late Latin	dangerous to health
malingerer	noun	French	someone shirking their duty by feigning illness or incapacity
mallet	noun	Middle English	a tool resembling a hammer but with a large head
mammon	noun	Middle English	a personification of wealth and avarice as an evil spirit
mandala	noun	Sanskrit	any of various geometric designs symbolizing the universe
manes	noun	Latin	a Persian prophet who founded Manichaeism
mangonel	noun	Middle English	medieval artillery used during sieges
maniac	adjective	Late Latin	wildly disordered
manicotti	noun	Italian	large pasta tubes stuffed with chopped meat or mild cheese and baked in tomato sauce
manifesto	noun	Italian	a public declaration of intentions
manifold	adjective	Middle English	many and varied
manna	noun	Middle English	hardened sugary exudation of various trees
manometer	noun	French	a pressure gauge for comparing pressures of a gas
manticore	noun	Middle English	a mythical monster having the head of man and the body of a lion and the tail of a scorpion
manumit	verb	Middle English	free from slavery or servitude
manzanita	noun	American Spanish	chiefly evergreen shrubs of warm dry areas of western North America
maquiladora	noun	Mexican Spanish	an assembly plant in Mexico
maraca	noun	Portuguese	a percussion instrument consisting of a pair of hollow pieces of wood or bone that are made to click together in rhythm with the dance
maraschino	noun	Italian	a sweet liqueur distilled from the fermented juice of a bitter wild cherry
maraud	noun	French	a sudden short attack
marchioness	noun	Medieval Latin	a noblewoman ranking below a duchess and above a countess
mare	noun	New Latin	female equine animal
marengo	noun	French	a battle in 1800 in which the French under Napoleon Bonaparte won a great victory over the Austrians
marginalia	noun	New Latin	notes written in the margin
mariachi	noun	Mexican Spanish	a group of street musicians in Mexico
mariner	noun	Middle English	a man who serves as a sailor
marionette	noun	French	a small figure of a person operated from above with strings by a puppeteer
mariposa	noun	American Spanish	any of several plants of the genus Calochortus having tulip-shaped flowers with 3 sepals and 3 petals
marmoreal	adjective	Latin	of or relating to or characteristic of marble
marmoset	noun	Middle English	small soft-furred South American and Central American monkey with claws instead of nails
marriage	noun	Middle English	the act of marrying
marsupial	adjective	New Latin	of or relating to the marsupials
marzipan	noun	German	almond paste and egg whites
masochistic	adjective	International Scientific Vocabulary	deriving pleasure or sexual gratification from being abused or dominated
massacre	noun	Middle French	the savage and excessive killing of many people
masseter	noun	New Latin	a large muscle that raises the lower jaw and is used in chewing
masseuse	noun	French	a female massager
massif	noun	French	a block of the earth's crust bounded by faults and shifted to form peaks of a mountain range
mastiff	noun	Middle English	an old breed of powerful deep-chested smooth-coated dog used chiefly as a watchdog and guard dog
mastodon	noun	New Latin	extinct elephant-like mammal that flourished worldwide from Miocene through Pleistocene times
matelote	noun	French	highly seasoned soup or stew made of freshwater fishes with wine and stock
matriculate	noun	Medieval Latin	someone who has been admitted to a college or university
matrimony	noun	Middle English	the ceremony or sacrament of marriage
mattock	noun	Middle English	a kind of pick that is used for digging
matutinal	adjective	Late Latin	pertaining to or occurring in the morning
mausoleum	noun	Middle English	"a large burial chamber, usually above ground"
mauve	adjective	French	of a pale to moderate greyish violet color
mawkishly	adverb	Middle English	in a mawkish and emotional manner
mayonnaise	noun	French	egg yolks and oil and vinegar
medallion	noun	French	an emblem indicating that a taxicab is registered
mediate	adjective	Medieval Latin	acting through or dependent on an intervening agency
mediate	adjective	Medieval Latin	acting through or dependent on an intervening agency
mediocre	adjective	Middle French	poor to middling in quality
medulla	noun	Middle English	the inner part of an organ or structure in plant or animal
meerschaum	noun	German	a pipe having a bowl made of meerschaum
megahertz	noun	International Scientific Vocabulary	one million periods per second
megalomaniac	noun	New Latin	a pathological egotist
megrims	noun	Middle English	a state of depression
meiosis	noun	New Latin	cell division that produces reproductive cells in sexually reproducing organisms
melange	noun	French	a motley assortment of things
melanoma	noun	New Latin	any of several malignant neoplasms consisting of melanocytes
melatonin	noun	Greek	hormone secreted by the pineal gland
melee	noun	French	a noisy riotous fight
mellifluous	adjective	Middle English	pleasing to the ear
memorabilia	noun	Latin	a record of things worth remembering
menagerie	noun	French	the facility where wild animals are housed for exhibition
mendacious	adjective	Latin	intentionally untrue
menhir	noun	French	a tall upright megalith
menial	adjective	Middle English	used of unskilled work
meniscus	noun	New Latin	the curved upper surface of a nonturbulent liquid in a vertical tube
mephitis	noun	Latin	in some classifications: type genus of the subfamily Mephitinae
mercenary	adjective	Middle English	used of soldiers hired by a foreign army
merganser	noun	New Latin	large crested fish-eating diving duck having a slender hooked bill with serrated edges
meridian	adjective	Middle English	of or happening at noon
meridional	adjective	Middle English	located in the south or characteristic of southern people or places
meringue	noun	French	sweet topping especially for pies made of beaten egg whites and sugar
merlon	noun	French	a solid section between two crenels in a crenelated battlement
Merovingian	adjective	French	of or relating to the Merovingian dynasty or its members
mesalliance	noun	French	a marriage with a person of inferior social status
mesencephalon	noun	New Latin	the middle portion of the brain
mesentery	noun	Middle English	a double layer of peritoneum that attaches to the back wall of the abdominal cavity and supports the small intestines
messuage	noun	Middle English	a dwelling house and its adjacent buildings and the adjacent land used by the household
metallurgy	noun	New Latin	the science and technology of metals
metamorphosis	noun	Latin	a complete change of physical form or substance especially as by magic or witchcraft
metathesis	noun	Late Latin	a linguistic process of transposition of sounds or syllables within a word or words within a sentence
metheglin	noun	Welsh	spiced or medicated mead
meticulosity	noun	Latin	strict attention to minute details
metonymy	noun	Latin	substituting the name of an attribute or feature for the name of the thing itself
metronome	noun	Greek	clicking pendulum indicates the exact tempo of a piece of music
mezzanine	noun	French	intermediate floor just above the ground floor
micaceous	adjective	New Latin	hydrous silicates of or relating to or resembling mica
Micawber	noun	Wilkins	fictional character created by Charles Dickens
Michaelmas	noun	Middle English	honoring the archangel Michael
microfiche	noun	French	small sheet of microfilm on which many pages of material have been photographed
midinette	noun	French	a Parisian salesgirl
midriff	noun	Middle English	a muscular partition separating the abdominal and thoracic cavities
mignonette	noun	French	Mediterranean woody annual widely cultivated for its dense terminal spikelike clusters greenish or yellowish white flowers having an intense spicy fragrance
mihrab	noun	Arabic	a niche in the wall of a mosque that indicates the direction of Mecca
mikado	noun	Japanese	the emperor of Japan
militia	noun	Latin	civilians trained as soldiers but not part of the regular army
mimetic	adjective	Late Latin	exhibiting mimicry
mimosa	noun	New Latin	a mixed drink containing champagne and orange juice
minacious	adjective	Latin	threatening or foreshadowing evil or tragic developments
minaret	noun	French	slender tower with balconies
minatory	adjective	Late Latin	threatening or foreshadowing evil or tragic developments
mince	noun	Middle English	food chopped into small bits
minestrone	noun	Italian	soup made with a variety of vegetables
minion	noun	Middle French	a servile or fawning dependant
minyan	noun	Hebrew	the quorum required by Jewish law to be present for public worship
miscellanea	noun	Latin	a collection containing a variety of sorts of things
miscible	adjective	Medieval Latin	capable of being mixed
miscreant	noun	Middle English	a person without moral scruples
misnomer	noun	Middle English	an incorrect or unsuitable name
misocainea	noun	New Latin	hatred of new ideas
misogamist	noun	Greek	a person who hates marriage
misogynist	noun	Greek	a misanthrope who dislikes women in particular
misoneism	noun	Italian	hatred of change or innovation
mistletoe	noun	Middle English	shrub of central and southeastern Europe
mistral	noun	French	a strong north wind that blows in France during the winter
mitigate	verb	Middle English	make less severe or harsh
mitigative	adjective	Middle English	moderating pain or sorrow by making it easier to bear
mitochondrion	noun	New Latin	an organelle containing enzymes responsible for producing energy
mitomycin	noun	International Scientific Vocabulary	a complex of antibiotic substances obtained from a streptomyces bacterium
mitosis	noun	New Latin	cell division in which the nucleus divides into nuclei containing the same number of chromosomes
mnemonic	adjective	Greek	of or relating to or involved the practice of aiding the memory
modiste	noun	French	someone who makes or mends dresses
moiety	noun	Middle English	one of two basic subdivisions of a tribe
moire	adjective	French	having a wavelike pattern
Moloch	noun	Late Latin	any lizard of the genus Moloch
momus	noun	Latin	god of blame and mockery
monastery	noun	Middle English	the residence of a religious community
monetary	adjective	Late Latin	relating to or involving money
monochromatic	adjective	Latin	having only one wavelength
monocle	noun	French	lens for correcting defective vision in one eye
monogamous	adjective	French	having one mate
monopoly	noun	Latin	exclusive possession or control
monotonous	adjective	Greek	tediously repetitious or lacking in variety
moquette	noun	French	a thick velvety synthetic fabric used for carpets and soft upholstery
moraine	noun	French	accumulated earth and stones deposited by a glacier
moratorium	noun	New Latin	suspension of an ongoing activity
morceau	noun	French	a short literary or musical composition
mordacious	adjective	Latin	biting or given to biting
mores	noun	Latin	the conventions that embody the fundamental values of a group
moribund	adjective	Latin	being on the point of death
morion	noun	Middle French	a metal helmet worn by common soldiers in the 16th century
morion	noun	Middle French	a metal helmet worn by common soldiers in the 16th century
morose	adjective	Latin	showing a brooding ill humor
Morpheus	noun	Latin	the Roman god of sleep and dreams
morphogenesis	noun	New Latin	differentiation and growth of the structure of an organism
mosquito	noun	Spanish	two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals
mostaccioli	noun	Italian	pasta somewhat resembling little moustaches
motif	noun	French	a dominant idea or central theme
mountebank	noun	Italian	a flamboyant deceiver
moussaka	noun	Modern Greek	casserole of eggplant and ground lamb with onion and tomatoes bound with white sauce and beaten eggs
mousse	noun	French	toiletry consisting of an aerosol foam used in hair styling
mozzarella	noun	Italian	mild white Italian cheese
mucilaginous	adjective	Middle English	having the sticky properties of an adhesive
muesli	noun	German dialect	mixture of untoasted dry cereals and fruits
mufti	noun	Arabic	civilian dress worn by a person who is entitled to wear a military uniform
mufti	noun	Arabic	civilian dress worn by a person who is entitled to wear a military uniform
muishond	noun	Afrikaans	southern African weasel
mulct	noun	Latin	money extracted as a penalty
multifarious	adjective	Medieval Latin	having many aspects
mummery	noun	Middle French	meaningless ceremonies and flattery
municipal	adjective	Latin	of or relating to the government of a municipality
muniments	noun	Middle English	deeds and other documentary evidence of title to land
murrain	noun	Middle English	any disease of domestic animals that resembles a plague
muscle	noun	Middle English	authority or power or force
musculature	noun	French	the muscular system of an organism
muslin	noun	French	plain-woven cotton fabric
mustelid	noun	New Latin	fissiped fur-bearing carnivorous mammals
Mustelidae	noun	New Latin	weasels
musteline	noun	New Latin	fissiped fur-bearing carnivorous mammals
mutual	adjective	Middle French	concerning each of two or more persons or things
muumuu	noun	Hawaiian	a woman's loose unbelted dress
myasthenia	noun	New Latin	any muscular weakness
mycology	noun	New Latin	the branch of botany that studies fungi and fungus-caused diseases
myelitis	noun	New Latin	inflammation of the spinal cord
myelocyte	noun	International Scientific Vocabulary	an immature leukocyte normally found in bone marrow
myeloma	noun	New Latin	a tumor of the bone marrow composed of cells normally found in bone marrow
myocarditis	noun	New Latin	inflammation of the myocardium
myoclonus	noun	New Latin	a clonic spasm of a muscle or muscle group
myotonia	noun	New Latin	abnormally long muscular contractions
myriad	adjective	Greek	too numerous to be counted
myrmecophyte	noun	International Scientific Vocabulary	plant that affords shelter or food to ants that live in symbiotic relations with it
myrmidon	noun	Middle English	a member of the warriors who followed Achilles on the expedition against Troy
mystique	noun	French	an aura of heightened value or interest or meaning surrounding a person or thing
myxomatosis	noun	New Latin	a viral disease of rabbits
nabob	noun	Hindi	a wealthy man
nacelle	noun	French	a streamlined enclosure for an aircraft engine
nacre	noun	French	the iridescent internal layer of a mollusk shell
nadir	noun	Middle English	the point below the observer that is directly opposite the zenith on the imaginary sphere against which celestial bodies appear to be projected
naiad	noun	Middle English	a nymph of lakes and springs and rivers and fountains
nainsook	noun	Hindi and Urdu	a soft lightweight muslin used especially for babies
napery	noun	Middle English	linens for the dining table
naphtha	noun	Latin	any of various volatile flammable liquid hydrocarbon mixtures
napoleon	noun	French	a card game similar to whist
narcissistic	adjective	German	characteristic of those having an inflated idea of their own importance
narthex	noun	Late Greek	a vestibule leading to the nave of a church
nascent	adjective	Latin	being born or beginning
natatorium	noun	Late Latin	pool that provides a facility for swimming
naumachia	noun	Latin	a naval spectacle
navel	noun	Middle English	scar where the umbilical cord was attached
navicular	adjective	New Latin	shaped like a boat
navicular	adjective	New Latin	shaped like a boat
Neapolitan	adjective	Middle English	of or relating to or characteristic of Naples or its people
nebula	noun	New Latin	a faint cloudy spot on the cornea
nebulous	adjective	Latin	lacking definition or definite content
nectar	noun	Latin	fruit juice especially when undiluted
nefarious	adjective	Latin	extremely wicked
neologism	noun	French	the act of inventing a word or phrase
neophyte	noun	Middle English	a plant that is found in an area where it had not been recorded previously
nephoscope	noun	International Scientific Vocabulary	"a measuring instrument that uses a grid for measuring the altitude, direction, and velocity of movement of clouds"
nephrectomy	noun	International Scientific Vocabulary	surgical removal of a kidney
nephropathy	noun	International Scientific Vocabulary	a disease affecting the kidneys
nepotism	noun	French	favoritism shown to relatives or close friends by those in power
neptunium	noun	New Latin	a radioactive transuranic metallic element
Nereid	noun	Latin	any of the 50 sea nymphs who were daughters of the sea god Nereus
Nereid	noun	Latin	any of the 50 sea nymphs who were daughters of the sea god Nereus
neritic	adjective	International Scientific Vocabulary	relating to the region of shallow water adjoining the seacoast
nescience	noun	Late Latin	ignorance
nescient	adjective	Late Latin	holding that only material phenomena can be known and knowledge of spiritual matters or ultimate causes is impossible
neuralgia	noun	New Latin	acute spasmodic pain along the course of one or more nerves
neurasthenic	adjective	New Latin	of or relating to or suffering from neurasthenia
neurohypophysis	noun	New Latin	the posterior lobe of the pituitary body
neurological	adjective	New Latin	of or relating to or used in or practicing neurology
neuropathy	noun	International Scientific Vocabulary	any pathology of the peripheral nerves
neutrino	noun	Italian	an elementary particle with zero charge and zero mass
nexus	noun	Latin	a connected series or group
nicety	noun	Middle English	conformity with some esthetic standard of correctness or propriety
nidicolous	adjective	Latin	remaining in the nest for a time after hatching
nidifugous	adjective	Latin	leaving the nest shortly after hatching
nihilism	noun	German	a revolutionary doctrine that advocates destruction of the social system for its own sake
nilpotent	adjective	Latin	equal to zero when raised to a certain power
nimbus	noun	Latin	a dark grey cloud bearing rain
nimiety	noun	Late Latin	a quantity much larger than is needed
nineties	noun	Middle English	the time of life between 90 and 100
ninety	adjective	Middle English	being ten more than eighty
nirvana	noun	Sanskrit	the beatitude that transcends the cycle of reincarnation
nisus	noun	Latin	an effortful attempt to attain a goal
nitid	adjective	Latin	bright with a steady but subdued shining
Noachian	adjective	Hebrew	of or relating to Noah or his time
noggin	noun	origin unknown	informal terms for a human head
noisome	adjective	Middle English	offensively malodorous
nominal	adjective	Middle English	existing in name only
nomothetic	adjective	Greek	relating to or involving the search for abstract universal principles
nonage	noun	Middle English	any age prior to the legal age
nonagenarian	adjective	Latin	being from 90 to 99 years old
nonce	noun	Middle English	the present occasion
nonchalant	adjective	French	marked by blithe unconcern
nonpareil	adjective	Middle English	eminent beyond or above comparison
nonplus	verb	Latin	be a mystery or bewildering to
nonuple	adjective	French	having nine units or components
normothermia	noun	New Latin	normal body temperature
nosocomial	adjective	Late Latin	taking place or originating in a hospital
nostalgia	noun	New Latin	longing for something past
nostrum	noun	Latin	patent medicine whose efficacy is questionable
notochord	noun	Greek	a flexible rodlike structure that forms the supporting axis of the body in the lowest chordates and lowest vertebrates and in embryos of higher vertebrates
notorious	adjective	Medieval Latin	having an exceedingly bad reputation
notornis	noun	New Latin	flightless New Zealand birds similar to gallinules
notturno	noun	Italian	a pensive lyrical piece of music
novillero	noun	Spanish	a bullfighter who is required to fight bulls less than four years of age
nuance	noun	French	a subtle difference in meaning or opinion or attitude
nucleolus	noun	New Latin	a small round body of protein in a cell nucleus
nudibranch	noun	New Latin	any of various marine gastropods of the suborder Nudibranchia having a shell-less and often beautifully colored body
nugatory	adjective	Latin	of no real value
nullipara	noun	New Latin	a woman who has never give birth to a child
numen	noun	Latin	a spirit believed to inhabit an object or preside over a place
numinous	adjective	Latin	evincing the presence of a deity
nuncio	noun	Italian	a diplomatic representative of the Pope having ambassadorial status
nuptials	noun	Latin	the social event at which the ceremony of marriage is performed
nutria	noun	American Spanish	aquatic South American rodent resembling a small beaver
nyctalopia	noun	New Latin	inability to see clearly in dim light
nystagmus	noun	New Latin	involuntary movements of the eyeballs
oakum	noun	Middle English	loose hemp or jute fiber obtained by unravelling old ropes
obdurate	adjective	Middle English	showing unfeeling resistance to tender feelings
obedient	adjective	Middle English	dutifully complying with the commands or instructions of those in authority
obeisance	noun	Middle English	the act of obeying
obelisk	noun	Middle French	a stone pillar having a rectangular cross section tapering towards a pyramidal top
obituary	noun	Medieval Latin	a notice of someone's death
objurgation	noun	Middle English	rebuking a person harshly
obloquy	noun	Middle English	state of disgrace resulting from public abuse
obnubilate	verb	Latin	"make unclear, indistinct, or blurred"
obscene	adjective	Middle French	designed to incite to indecency or lust
obsequious	adjective	Middle English	attentive in an ingratiating or servile manner
obstreperous	adjective	Latin	boisterously and noisily aggressive
ocarina	noun	Italian	egg-shaped terra cotta wind instrument with a mouthpiece and finger holes
Occident	noun	Middle English	the hemisphere that includes North America and South America
occlusion	noun	Latin	the normal spatial relation of the teeth when the jaws are closed
ocellus	noun	New Latin	an eyelike marking
ocelot	noun	French	nocturnal wildcat of Central America and South America having a dark-spotted buff-brown coat
ocotillo	noun	Mexican Spanish	desert shrub of southwestern United States and Mexico having slender naked spiny branches that after the rainy season put forth foliage and clusters of red flowers
oculus	noun	Latin	the organ of sight
oeuvre	noun	French	the total output of a writer or artist
offertory	noun	Middle English	the part of the Eucharist when bread and wine are offered to God
officious	adjective	Latin	intrusive in a meddling or offensive manner
ogive	noun	Middle English	front consisting of the conical head of a missile or rocket that protects the payload from heat during its passage through the atmosphere
oleaginous	adjective	Middle English	containing an unusual amount of grease or oil
oleander	noun	Medieval Latin	an ornamental but poisonous flowering shrub having narrow evergreen leaves and clusters of fragrant white to pink or red flowers: native to East Indies but widely cultivated in warm regions
olecranon	noun	New Latin	process of the ulna that forms the outer bump of the elbow and fits into the fossa of the humerus when the arm is extended
olfactory	adjective	Latin	of or relating to olfaction
olivine	noun	German	a mineral consisting of magnesium iron silicate
ombudsman	noun	Swedish	a government appointee who investigates complaints by private persons against the government
omnifarious	adjective	Late Latin	of all varieties or forms or kinds
omphaloskepsis	noun	New Latin	contemplation of one's navel
onager	noun	Middle English	Asiatic wild ass
oneiric	adjective	Greek	of or relating to or suggestive of dreams
onerous	adjective	Middle English	not easily borne
onomastic	adjective	Greek	of or related to onomastics
onomasticon	noun	New Latin	a list of proper nouns naming persons or places
ontogeny	noun	International Scientific Vocabulary	the process of an individual organism growing organically
